,Id,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,NoOfContacts,DaysPassed,PrevAttempts,Outcome,CarInsurance,age_group,duration_status,Month,Job_admin.,Job_blue-collar,Job_entrepreneur,Job_housemaid,Job_management,Job_retired,Job_self-employed,Job_services,Job_student,Job_technician,Job_unemployed
101,102,1,1,0,2,1,0,1,2,0,0,0,1,2,1,5,0,0,0,0,0,0,0,0,0,1,0
105,106,1,3,0,1,0,0,1,1,0,0,0,1,1,1,8,0,0,0,0,0,0,0,0,0,1,0
106,107,1,1,0,0,1,0,1,1,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0
108,109,1,3,0,0,0,0,1,1,0,0,0,1,3,0,5,0,0,0,0,1,0,0,0,0,0,0
109,110,0,1,0,0,0,1,0,4,0,0,0,0,2,0,7,0,1,0,0,0,0,0,0,0,0,0
111,112,1,1,0,2,0,0,1,2,0,0,0,1,2,0,6,0,0,0,0,0,0,0,0,0,1,0
113,114,1,3,0,1,1,0,1,2,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0
114,115,1,3,0,0,1,0,1,3,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0
115,116,1,3,0,0,0,0,1,1,0,3,1,1,1,0,4,0,0,0,0,1,0,0,0,0,0,0
116,117,1,1,0,2,1,1,1,4,0,0,0,1,1,1,7,0,0,0,0,0,0,0,1,0,0,0
117,118,1,1,0,0,0,0,1,5,1,1,1,1,4,0,2,0,0,0,0,0,1,0,0,0,0,0
118,119,1,3,0,0,0,0,1,1,5,2,0,1,1,1,8,0,0,0,0,1,0,0,0,0,0,0
120,121,0,3,0,3,0,0,1,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0
121,122,2,3,0,0,0,0,1,2,0,0,0,1,2,1,12,0,0,0,0,1,0,0,0,0,0,0
122,123,1,3,0,1,0,0,0,1,0,0,0,1,4,0,11,0,0,1,0,0,0,0,0,0,0,0
123,124,1,2,0,0,0,0,1,2,0,0,0,1,2,1,6,0,0,0,0,0,0,0,0,0,0,1
124,125,1,2,0,1,0,0,1,2,0,2,1,1,3,0,9,0,1,0,0,0,0,0,0,0,0,0
127,128,1,1,0,0,1,1,1,2,0,2,2,1,2,1,11,0,1,0,0,0,0,0,0,0,0,0
128,129,0,3,0,2,0,0,1,1,0,0,0,1,0,1,11,0,0,0,0,0,0,0,0,1,0,0
129,130,1,1,0,0,1,0,1,2,0,0,0,0,2,0,8,1,0,0,0,0,0,0,0,0,0,0
130,131,1,3,0,0,0,1,0,3,0,0,0,0,3,0,7,0,0,0,0,1,0,0,0,0,0,0
131,132,1,3,0,1,0,0,1,1,0,0,0,1,2,1,12,0,0,0,0,1,0,0,0,0,0,0
132,133,1,3,0,3,0,0,1,1,0,0,0,0,4,1,3,0,0,0,0,1,0,0,0,0,0,0
133,134,2,3,0,1,1,0,1,1,2,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0
134,135,1,1,0,0,0,1,1,1,0,0,0,0,3,0,7,0,0,0,0,0,1,0,0,0,0,0
135,136,1,1,0,0,0,0,1,1,0,4,2,1,2,0,8,1,0,0,0,0,0,0,0,0,0,0
136,137,2,3,0,1,0,0,1,1,0,0,0,1,1,1,11,0,0,0,0,1,0,0,0,0,0,0
137,138,0,1,0,0,0,0,1,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0
140,141,1,1,0,1,1,1,1,2,0,0,0,0,2,0,5,0,1,0,0,0,0,0,0,0,0,0
141,142,0,1,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1
144,145,1,1,0,2,0,0,0,2,0,0,0,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0
145,146,0,1,0,0,0,0,1,1,2,1,2,1,0,1,7,0,0,0,0,0,0,0,0,1,0,0
146,147,0,3,0,0,0,0,0,3,1,3,2,1,2,0,10,0,0,0,0,1,0,0,0,0,0,0
148,149,1,2,0,2,0,0,1,2,0,0,0,0,1,1,6,0,1,0,0,0,0,0,0,0,0,0
149,150,0,3,0,0,1,0,1,1,2,8,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0
150,151,2,3,0,0,0,0,1,4,0,1,0,1,3,1,8,0,0,0,0,1,0,0,0,0,0,0
153,154,1,2,0,1,0,0,1,2,0,0,0,1,3,1,6,0,1,0,0,0,0,0,0,0,0,0
154,155,0,2,0,0,0,0,1,3,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1
155,156,1,1,0,0,0,0,1,1,0,8,1,1,4,0,8,0,0,0,0,0,1,0,0,0,0,0
156,157,1,1,0,2,1,0,1,1,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,1,0
157,158,1,1,0,0,1,1,1,2,1,3,2,0,3,0,11,0,1,0,0,0,0,0,0,0,0,0
159,160,0,2,0,0,0,0,1,1,0,0,0,1,2,0,4,0,1,0,0,0,0,0,0,0,0,0
160,161,1,1,0,0,0,0,1,2,0,0,0,1,4,1,5,0,1,0,0,0,0,0,0,0,0,0
161,162,1,1,0,1,0,0,1,4,0,0,0,0,3,0,6,0,0,0,0,0,1,0,0,0,0,0
162,163,1,1,0,0,0,0,1,4,0,0,0,0,3,0,8,0,0,0,0,0,1,0,0,0,0,0
164,165,1,1,0,1,0,0,1,6,0,0,0,0,3,0,6,0,1,0,0,0,0,0,0,0,0,0
166,167,2,1,0,0,0,1,1,2,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1
167,168,1,1,0,0,0,0,1,2,0,0,0,1,2,1,8,0,0,0,0,0,0,0,1,0,0,0
168,169,0,1,0,1,0,0,1,5,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0
169,170,1,1,0,0,0,1,1,3,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,1,0
170,171,0,1,0,1,0,0,0,7,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,1,0
173,174,1,1,0,0,1,0,1,4,0,0,0,1,1,1,11,0,0,0,0,0,0,0,0,0,1,0
174,175,0,3,0,2,1,0,1,8,0,0,0,0,1,1,8,0,0,0,0,1,0,0,0,0,0,0
175,176,0,1,0,0,1,0,1,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
176,177,0,3,0,0,0,0,1,1,0,5,1,1,0,0,10,0,0,0,0,0,0,1,0,0,0,0
177,178,1,3,0,1,1,0,1,3,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0
180,181,1,1,0,0,1,1,1,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0
182,183,1,1,0,0,0,0,1,1,0,2,1,1,2,1,5,1,0,0,0,0,0,0,0,0,0,0
184,185,1,1,0,0,0,0,1,1,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,1,0
185,186,0,3,0,0,1,0,1,1,0,2,1,1,0,0,10,0,0,0,0,1,0,0,0,0,0,0
186,187,1,3,0,2,0,0,1,3,0,0,0,0,1,0,8,0,0,0,0,1,0,0,0,0,0,0
190,191,2,1,0,0,0,0,1,3,0,0,0,0,3,0,5,0,1,0,0,0,0,0,0,0,0,0
191,192,2,2,0,0,0,0,1,4,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1
192,193,0,1,0,0,1,0,1,1,0,2,1,0,2,0,9,0,0,0,0,0,0,0,0,1,0,0
194,195,0,3,0,1,0,0,1,2,0,0,0,1,1,1,6,0,0,0,0,1,0,0,0,0,0,0
196,197,1,3,0,0,1,1,1,2,0,0,0,0,2,1,7,0,0,0,0,1,0,0,0,0,0,0
198,199,1,3,0,1,0,0,1,1,0,1,0,1,2,1,11,0,0,0,0,1,0,0,0,0,0,0
199,200,1,2,0,0,1,0,1,1,2,3,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0
202,203,0,3,0,0,0,0,1,2,0,0,0,1,1,0,7,0,0,0,0,0,0,0,0,0,1,0
203,204,1,1,0,0,0,0,1,4,0,0,0,0,3,1,8,1,0,0,0,0,0,0,0,0,0,0
207,208,1,2,0,2,1,0,1,1,2,1,0,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0
208,209,1,3,0,0,0,0,1,1,0,1,0,1,2,1,4,0,0,0,0,1,0,0,0,0,0,0
210,211,1,1,0,0,1,1,1,5,1,2,0,0,3,0,7,1,0,0,0,0,0,0,0,0,0,0
212,213,1,1,0,0,1,0,1,2,2,1,0,0,1,1,4,0,0,0,0,0,0,0,1,0,0,0
213,214,1,1,0,0,0,0,1,5,0,0,0,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0
214,215,0,1,0,0,1,0,1,2,0,0,0,1,1,1,6,0,0,0,0,0,0,0,0,0,0,1
215,216,0,3,0,0,0,0,1,3,1,2,0,1,1,0,7,0,0,0,0,1,0,0,0,0,0,0
216,217,0,1,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0
218,219,1,3,0,0,0,0,1,2,0,0,0,1,3,0,3,0,0,0,0,0,1,0,0,0,0,0
220,221,1,3,0,0,0,0,1,2,1,1,1,1,2,0,11,0,0,0,0,1,0,0,0,0,0,0
221,222,1,1,0,0,1,1,1,3,0,0,0,1,1,1,5,0,0,0,0,1,0,0,0,0,0,0
222,223,1,3,0,0,1,0,1,1,0,0,0,0,2,1,7,0,0,0,0,1,0,0,0,0,0,0
225,226,1,1,0,0,0,1,1,1,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,1,0
227,228,0,3,0,0,1,0,1,1,2,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0
228,229,0,3,0,1,1,0,1,3,0,0,0,1,0,1,5,0,0,0,0,1,0,0,0,0,0,0
229,230,2,3,0,0,1,0,1,4,1,3,2,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0
230,231,0,3,0,1,0,0,1,1,0,0,0,1,0,1,8,0,0,0,0,1,0,0,0,0,0,0
231,232,1,1,0,0,1,1,1,1,1,4,0,0,1,0,8,0,0,0,0,0,0,0,0,0,1,0
234,235,0,1,0,0,0,0,1,2,0,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,1,0
236,237,1,1,0,2,0,0,1,2,0,0,0,0,3,0,11,1,0,0,0,0,0,0,0,0,0,0
239,240,0,1,0,0,0,0,1,1,1,1,1,1,2,0,10,0,0,0,0,0,0,0,0,0,1,0
241,242,1,1,0,0,1,0,1,1,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,1,0
242,243,1,1,0,0,0,0,1,1,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,1,0
243,244,1,2,0,2,1,0,1,3,0,0,0,1,3,1,8,0,0,0,0,0,1,0,0,0,0,0
244,245,1,1,0,1,1,0,1,1,1,2,0,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0
246,247,1,1,0,0,1,0,1,1,0,0,0,1,2,0,4,0,1,0,0,0,0,0,0,0,0,0
248,249,1,1,0,0,1,0,1,2,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0
249,250,2,3,0,0,0,0,1,2,0,0,0,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0
251,252,1,3,0,0,1,0,1,2,0,0,0,1,1,1,7,0,1,0,0,0,0,0,0,0,0,0
252,253,1,3,0,1,0,0,1,5,0,0,0,1,1,1,6,0,0,0,0,0,0,1,0,0,0,0
253,254,0,1,0,1,0,0,1,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1
257,258,1,2,0,0,1,0,1,2,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0
258,259,1,1,0,0,0,1,1,11,0,0,0,1,2,1,7,0,1,0,0,0,0,0,0,0,0,0
259,260,0,3,0,1,0,0,1,2,0,0,0,0,1,0,10,0,1,0,0,0,0,0,0,0,0,0
260,261,1,2,0,0,0,0,1,2,0,0,0,0,2,0,6,0,1,0,0,0,0,0,0,0,0,0
261,262,1,1,0,0,0,1,1,1,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,1,0
262,263,1,1,1,0,0,1,1,1,0,0,0,1,2,1,7,0,1,0,0,0,0,0,0,0,0,0
264,265,1,3,0,0,0,0,1,11,0,0,0,1,1,0,7,0,0,1,0,0,0,0,0,0,0,0
265,266,1,1,0,0,1,0,1,3,0,0,0,0,3,0,6,1,0,0,0,0,0,0,0,0,0,0
267,268,1,1,0,0,0,0,0,5,0,0,0,0,2,0,7,0,0,0,0,0,0,0,1,0,0,0
270,271,1,1,0,0,1,0,1,3,0,0,0,0,2,0,6,0,1,0,0,0,0,0,0,0,0,0
271,272,1,1,0,2,1,0,1,1,0,0,0,0,1,1,6,0,0,1,0,0,0,0,0,0,0,0
272,273,1,3,0,0,0,0,1,1,0,0,0,0,3,0,11,0,0,0,1,0,0,0,0,0,0,0
273,274,2,1,0,0,0,0,1,2,0,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1
274,275,0,3,0,0,0,0,1,4,3,2,2,1,2,0,7,0,0,0,0,1,0,0,0,0,0,0
276,277,1,1,0,1,1,0,1,4,0,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0,1,0
277,278,1,3,0,0,0,0,1,1,0,0,0,0,1,0,8,0,0,0,0,1,0,0,0,0,0,0
278,279,2,2,0,0,1,0,1,1,0,0,0,0,2,0,7,0,0,0,1,0,0,0,0,0,0,0
282,283,2,3,0,0,0,0,1,1,0,0,0,1,3,1,6,0,0,0,0,0,0,1,0,0,0,0
283,284,1,1,0,0,1,1,1,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0
285,286,2,1,0,0,0,0,1,2,1,10,1,1,3,0,10,0,0,0,0,0,1,0,0,0,0,0
287,288,0,3,0,3,0,0,1,3,0,3,0,1,1,0,9,0,0,0,0,0,0,0,0,1,0,0
288,289,1,1,0,0,1,0,1,2,1,4,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0
290,291,0,1,0,0,0,1,1,6,0,0,0,1,1,1,7,0,1,0,0,0,0,0,0,0,0,0
292,293,1,1,0,0,0,0,1,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0
293,294,1,1,0,0,1,0,1,1,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0
296,297,0,3,0,0,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0
298,299,0,3,0,0,0,0,1,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
299,300,0,1,0,0,1,0,1,1,2,1,0,1,0,1,5,0,0,0,0,0,0,0,1,0,0,0
300,301,2,3,0,0,0,1,1,1,0,0,0,0,2,0,6,0,0,1,0,0,0,0,0,0,0,0
302,303,0,3,0,1,1,0,1,2,0,3,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0
304,305,1,3,0,2,0,0,1,1,0,0,0,1,1,0,7,0,0,0,0,1,0,0,0,0,0,0
305,306,0,3,0,0,0,0,1,2,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,1,0
306,307,1,3,0,0,1,0,1,2,0,0,0,0,2,0,5,0,0,1,0,0,0,0,0,0,0,0
307,308,0,1,0,1,0,0,1,1,3,1,1,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0
308,309,0,3,0,0,1,0,1,4,2,1,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0
309,310,0,1,0,0,0,0,1,3,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0
310,311,1,1,0,0,0,0,1,1,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0
311,312,1,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
312,313,0,3,0,0,0,0,0,2,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,1,0,0
315,316,2,1,0,0,1,1,0,1,0,0,0,1,2,1,10,1,0,0,0,0,0,0,0,0,0,0
319,320,0,1,0,0,1,0,1,1,1,4,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0
320,321,1,1,0,0,0,0,1,1,0,4,0,1,1,0,11,0,0,0,0,0,0,0,1,0,0,0
323,324,2,1,0,0,1,0,1,3,2,1,2,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0
324,325,1,1,0,0,1,0,1,1,1,7,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0
325,326,0,1,0,0,0,0,1,3,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0
327,328,0,3,0,0,1,0,1,1,0,2,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1,0
330,331,0,1,0,0,0,0,1,3,0,4,1,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0
331,332,1,1,0,0,1,0,1,2,0,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0
332,333,1,1,0,0,0,0,1,6,0,0,0,1,4,1,8,0,0,0,0,1,0,0,0,0,0,0
333,334,2,3,0,0,0,0,1,3,0,0,0,1,2,1,8,0,0,0,0,1,0,0,0,0,0,0
335,336,1,1,0,1,1,0,1,2,2,1,1,1,3,0,6,0,0,0,0,1,0,0,0,0,0,0
336,337,0,1,0,0,0,0,1,2,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0
339,340,0,1,0,0,1,0,1,6,0,0,0,1,1,1,7,0,1,0,0,0,0,0,0,0,0,0
341,342,1,1,0,0,1,0,1,2,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0
342,343,1,1,0,0,0,0,1,2,0,0,0,1,3,0,7,0,0,0,0,0,0,0,0,0,1,0
343,344,0,3,0,0,1,0,1,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1,0
346,347,0,1,0,0,0,0,1,1,0,1,2,0,2,0,10,0,0,0,0,0,0,0,0,0,1,0
347,348,1,1,0,0,0,0,1,1,0,0,0,1,1,0,10,0,0,0,0,0,0,0,0,0,1,0
348,349,0,3,0,1,1,0,1,3,0,0,0,1,1,0,4,0,0,0,0,1,0,0,0,0,0,0
350,351,1,1,0,2,1,0,1,2,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,1,0
351,352,2,1,0,0,1,0,1,2,0,0,0,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0
354,355,0,1,0,0,0,0,1,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0
355,356,0,1,0,0,1,0,1,1,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0
358,359,1,1,0,0,1,0,1,1,0,2,0,0,1,0,6,0,0,0,0,1,0,0,0,0,0,0
359,360,1,1,0,0,1,0,0,11,0,0,0,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0
360,361,1,1,0,0,1,0,1,3,0,0,0,0,2,0,5,0,1,0,0,0,0,0,0,0,0,0
362,363,1,2,0,0,1,0,1,2,0,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0
363,364,0,3,0,3,0,0,1,4,0,0,0,1,1,0,5,0,0,0,0,1,0,0,0,0,0,0
364,365,1,2,0,0,1,0,1,4,0,0,0,0,3,0,5,0,0,0,0,1,0,0,0,0,0,0
366,367,0,1,0,0,1,0,1,3,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0
367,368,0,1,0,0,1,1,1,1,1,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0
369,370,2,1,0,0,0,1,1,4,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,1,0
370,371,0,3,0,0,0,0,1,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0
371,372,0,1,0,0,1,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1
372,373,0,1,0,0,1,0,1,1,0,0,0,1,1,1,11,0,0,0,0,0,0,0,1,0,0,0
374,375,0,1,0,0,0,0,1,2,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0
375,376,1,1,0,3,0,0,1,1,1,1,1,1,4,1,4,0,0,0,0,0,1,0,0,0,0,0
376,377,1,1,0,1,0,0,1,12,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0
377,378,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
